run,models,rules,train_0,train_1,test_0,test_1,lm_accuracy,lm_precision,lm_recall,lm_ROCAUC,lm_f1,lm_CM_TN,lm_CM_FP,lm_CM_FN,lm_CM_TP,mlv_accuracy,mlv_precision,mlv_recall,mlv_ROCAUC,mlv_f1,mlv_CM_TN,mlv_CM_FP,mlv_CM_FN,mlv_CM_TP
1.0,1,0,91.0,314.0,22.0,78.0,0.91,0.8965517241379308,1.0,0.7954545454545454,0.9454545454545454,13.0,9.0,0.0,78.0,0.91,0.8965517241379308,1.0,0.7954545454545454,0.9454545454545454,13.0,9.0,0.0,78.0
2.0,1,0,88.0,312.0,22.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0
3.0,1,0,91.0,314.0,22.0,78.0,0.86,0.8555555555555555,0.9871794871794872,0.6981351981351982,0.9166666666666666,9.0,13.0,1.0,77.0,0.86,0.8555555555555555,0.9871794871794872,0.6981351981351982,0.9166666666666666,9.0,13.0,1.0,77.0
4.0,1,0,91.0,314.0,22.0,78.0,0.91,0.8965517241379308,1.0,0.7954545454545454,0.9454545454545454,13.0,9.0,0.0,78.0,0.91,0.8965517241379308,1.0,0.7954545454545454,0.9454545454545454,13.0,9.0,0.0,78.0
5.0,1,0,88.0,312.0,25.0,80.0,0.8571428571428571,0.8494623655913979,0.9875,0.71375,0.9132947976878614,11.0,14.0,1.0,79.0,0.8571428571428571,0.8494623655913979,0.9875,0.71375,0.9132947976878614,11.0,14.0,1.0,79.0
1.0,1,1,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
2.0,1,1,88.0,312.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.82,0.8125,1.0,0.5909090909090908,0.8965517241379308,4.0,18.0,0.0,78.0
3.0,1,1,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0
4.0,1,1,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
5.0,1,1,88.0,312.0,25.0,80.0,0.7619047619047619,0.7619047619047619,1.0,0.5,0.8648648648648648,0.0,25.0,0.0,80.0,0.8380952380952381,0.8247422680412371,1.0,0.6599999999999999,0.9039548022598872,8.0,17.0,0.0,80.0
1.0,1,2,91.0,314.0,22.0,78.0,0.88,0.875,0.9871794871794872,0.7435897435897436,0.927710843373494,11.0,11.0,1.0,77.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
2.0,1,2,88.0,312.0,22.0,78.0,0.81,0.8041237113402062,1.0,0.5681818181818181,0.8914285714285715,3.0,19.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
3.0,1,2,91.0,314.0,22.0,78.0,0.88,0.875,0.9871794871794872,0.7435897435897436,0.927710843373494,11.0,11.0,1.0,77.0,0.84,0.8369565217391305,0.9871794871794872,0.6526806526806528,0.9058823529411766,7.0,15.0,1.0,77.0
4.0,1,2,91.0,314.0,22.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0,0.89,0.8764044943820225,1.0,0.75,0.934131736526946,11.0,11.0,0.0,78.0
5.0,1,2,88.0,312.0,25.0,80.0,0.8,0.7920792079207921,1.0,0.5800000000000001,0.8839779005524863,4.0,21.0,0.0,80.0,0.8095238095238095,0.8,1.0,0.6,0.8888888888888891,5.0,20.0,0.0,80.0
1.0,1,3,91.0,314.0,22.0,78.0,0.82,0.8125,1.0,0.5909090909090908,0.8965517241379308,4.0,18.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
2.0,1,3,88.0,312.0,22.0,78.0,0.82,0.8125,1.0,0.5909090909090908,0.8965517241379308,4.0,18.0,0.0,78.0,0.88,0.8666666666666667,1.0,0.7272727272727273,0.9285714285714286,10.0,12.0,0.0,78.0
3.0,1,3,91.0,314.0,22.0,78.0,0.82,0.8125,1.0,0.5909090909090908,0.8965517241379308,4.0,18.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
4.0,1,3,91.0,314.0,22.0,78.0,0.88,0.8666666666666667,1.0,0.7272727272727273,0.9285714285714286,10.0,12.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
5.0,1,3,88.0,312.0,25.0,80.0,0.8190476190476189,0.8144329896907216,0.9875,0.63375,0.8926553672316384,7.0,18.0,1.0,79.0,0.8476190476190476,0.8478260869565217,0.975,0.7075,0.9069767441860466,11.0,14.0,2.0,78.0
1.0,1,4,91.0,314.0,22.0,78.0,0.89,0.8764044943820225,1.0,0.75,0.934131736526946,11.0,11.0,0.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0
2.0,1,4,88.0,312.0,22.0,78.0,0.88,0.875,0.9871794871794872,0.7435897435897436,0.927710843373494,11.0,11.0,1.0,77.0,0.86,0.8555555555555555,0.9871794871794872,0.6981351981351982,0.9166666666666666,9.0,13.0,1.0,77.0
3.0,1,4,91.0,314.0,22.0,78.0,0.88,0.875,0.9871794871794872,0.7435897435897436,0.927710843373494,11.0,11.0,1.0,77.0,0.84,0.8369565217391305,0.9871794871794872,0.6526806526806528,0.9058823529411766,7.0,15.0,1.0,77.0
4.0,1,4,91.0,314.0,22.0,78.0,0.83,0.8210526315789474,1.0,0.6136363636363636,0.9017341040462428,5.0,17.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
5.0,1,4,88.0,312.0,25.0,80.0,0.9047619047619048,0.8888888888888888,1.0,0.8,0.9411764705882352,15.0,10.0,0.0,80.0,0.8571428571428571,0.8421052631578947,1.0,0.7,0.9142857142857144,10.0,15.0,0.0,80.0
1.0,1,5,91.0,314.0,22.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0,0.87,0.8651685393258427,0.9871794871794872,0.7208624708624709,0.9221556886227544,10.0,12.0,1.0,77.0
2.0,1,5,88.0,312.0,22.0,78.0,0.79,0.7878787878787878,1.0,0.5227272727272727,0.8813559322033898,1.0,21.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
3.0,1,5,91.0,314.0,22.0,78.0,0.83,0.8279569892473119,0.9871794871794872,0.62995337995338,0.9005847953216375,6.0,16.0,1.0,77.0,0.87,0.8651685393258427,0.9871794871794872,0.7208624708624709,0.9221556886227544,10.0,12.0,1.0,77.0
4.0,1,5,91.0,314.0,22.0,78.0,0.88,0.8666666666666667,1.0,0.7272727272727273,0.9285714285714286,10.0,12.0,0.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0
5.0,1,5,88.0,312.0,25.0,80.0,0.8095238095238095,0.8,1.0,0.6,0.8888888888888891,5.0,20.0,0.0,80.0,0.8571428571428571,0.8421052631578947,1.0,0.7,0.9142857142857144,10.0,15.0,0.0,80.0
1.0,1,6,91.0,314.0,22.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0
2.0,1,6,88.0,312.0,22.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0
3.0,1,6,91.0,314.0,22.0,78.0,0.92,0.9069767441860463,1.0,0.8181818181818181,0.951219512195122,14.0,8.0,0.0,78.0,0.92,0.9069767441860463,1.0,0.8181818181818181,0.951219512195122,14.0,8.0,0.0,78.0
4.0,1,6,91.0,314.0,22.0,78.0,0.88,0.8837209302325582,0.9743589743589745,0.7599067599067599,0.9268292682926832,12.0,10.0,2.0,76.0,0.88,0.8837209302325582,0.9743589743589745,0.7599067599067599,0.9268292682926832,12.0,10.0,2.0,76.0
5.0,1,6,88.0,312.0,25.0,80.0,0.8761904761904762,0.8602150537634409,1.0,0.74,0.9248554913294798,12.0,13.0,0.0,80.0,0.8761904761904762,0.8602150537634409,1.0,0.74,0.9248554913294798,12.0,13.0,0.0,80.0
1.0,1,7,91.0,314.0,22.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0
2.0,1,7,88.0,312.0,22.0,78.0,0.81,0.8041237113402062,1.0,0.5681818181818181,0.8914285714285715,3.0,19.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
3.0,1,7,91.0,314.0,22.0,78.0,0.82,0.8191489361702128,0.9871794871794872,0.6072261072261073,0.8953488372093025,5.0,17.0,1.0,77.0,0.86,0.8555555555555555,0.9871794871794872,0.6981351981351982,0.9166666666666666,9.0,13.0,1.0,77.0
4.0,1,7,91.0,314.0,22.0,78.0,0.81,0.8041237113402062,1.0,0.5681818181818181,0.8914285714285715,3.0,19.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
5.0,1,7,88.0,312.0,25.0,80.0,0.8,0.7920792079207921,1.0,0.5800000000000001,0.8839779005524863,4.0,21.0,0.0,80.0,0.8380952380952381,0.8247422680412371,1.0,0.6599999999999999,0.9039548022598872,8.0,17.0,0.0,80.0
1.0,1,8,91.0,314.0,22.0,78.0,0.87,0.8651685393258427,0.9871794871794872,0.7208624708624709,0.9221556886227544,10.0,12.0,1.0,77.0,0.88,0.8666666666666667,1.0,0.7272727272727273,0.9285714285714286,10.0,12.0,0.0,78.0
2.0,1,8,88.0,312.0,22.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0
3.0,1,8,91.0,314.0,22.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
4.0,1,8,91.0,314.0,22.0,78.0,0.94,0.9285714285714286,1.0,0.8636363636363636,0.962962962962963,16.0,6.0,0.0,78.0,0.92,0.9069767441860463,1.0,0.8181818181818181,0.951219512195122,14.0,8.0,0.0,78.0
5.0,1,8,88.0,312.0,25.0,80.0,0.8666666666666667,0.8586956521739131,0.9875,0.73375,0.9186046511627908,12.0,13.0,1.0,79.0,0.8476190476190476,0.8404255319148937,0.9875,0.6937500000000001,0.9080459770114944,10.0,15.0,1.0,79.0
1.0,1,9,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
2.0,1,9,88.0,312.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.81,0.8105263157894737,0.9871794871794872,0.5844988344988346,0.8901734104046243,4.0,18.0,1.0,77.0
3.0,1,9,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.83,0.8210526315789474,1.0,0.6136363636363636,0.9017341040462428,5.0,17.0,0.0,78.0
4.0,1,9,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.85,0.8461538461538461,0.9871794871794872,0.6754079254079255,0.9112426035502958,8.0,14.0,1.0,77.0
5.0,1,9,88.0,312.0,25.0,80.0,0.7619047619047619,0.7619047619047619,1.0,0.5,0.8648648648648648,0.0,25.0,0.0,80.0,0.8571428571428571,0.8421052631578947,1.0,0.7,0.9142857142857144,10.0,15.0,0.0,80.0
1.0,1,10,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0
2.0,1,10,88.0,312.0,22.0,78.0,0.79,0.7878787878787878,1.0,0.5227272727272727,0.8813559322033898,1.0,21.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
3.0,1,10,91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.81,0.8041237113402062,1.0,0.5681818181818181,0.8914285714285715,3.0,19.0,0.0,78.0
4.0,1,10,91.0,314.0,22.0,78.0,0.8,0.7959183673469388,1.0,0.5454545454545454,0.8863636363636364,2.0,20.0,0.0,78.0,0.82,0.8125,1.0,0.5909090909090908,0.8965517241379308,4.0,18.0,0.0,78.0
5.0,1,10,88.0,312.0,25.0,80.0,0.7809523809523811,0.7766990291262136,1.0,0.54,0.8743169398907104,2.0,23.0,0.0,80.0,0.8571428571428571,0.8421052631578947,1.0,0.7,0.9142857142857144,10.0,15.0,0.0,80.0
1.0,1,11,91.0,314.0,22.0,78.0,0.29,0.8181818181818182,0.1153846153846154,0.5122377622377622,0.20224719101123595,20.0,2.0,69.0,9.0,0.65,0.9056603773584906,0.6153846153846154,0.6940559440559441,0.7328244274809161,17.0,5.0,30.0,48.0
2.0,1,11,88.0,312.0,22.0,78.0,0.28,0.875,0.08974358974358974,0.5221445221445221,0.1627906976744186,21.0,1.0,71.0,7.0,0.62,0.9166666666666666,0.5641025641025641,0.6911421911421911,0.6984126984126983,18.0,4.0,34.0,44.0
3.0,1,11,91.0,314.0,22.0,78.0,0.28,0.875,0.08974358974358974,0.5221445221445221,0.1627906976744186,21.0,1.0,71.0,7.0,0.6,0.8653846153846154,0.5769230769230769,0.6293706293706294,0.6923076923076923,15.0,7.0,33.0,45.0
4.0,1,11,91.0,314.0,22.0,78.0,0.27,1.0,0.0641025641025641,0.532051282051282,0.12048192771084335,22.0,0.0,73.0,5.0,0.62,0.9,0.5769230769230769,0.6748251748251748,0.7031249999999999,17.0,5.0,33.0,45.0
5.0,1,11,88.0,312.0,25.0,80.0,0.3142857142857143,0.8333333333333334,0.125,0.5225000000000001,0.21739130434782608,23.0,2.0,70.0,10.0,0.6571428571428571,0.8928571428571429,0.625,0.6925,0.7352941176470589,19.0,6.0,30.0,50.0
1.0,1,12,91.0,314.0,22.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
2.0,1,12,88.0,312.0,22.0,78.0,0.91,0.8965517241379308,1.0,0.7954545454545454,0.9454545454545454,13.0,9.0,0.0,78.0,0.91,0.8965517241379308,1.0,0.7954545454545454,0.9454545454545454,13.0,9.0,0.0,78.0
3.0,1,12,91.0,314.0,22.0,78.0,0.91,0.9058823529411764,0.9871794871794872,0.8117715617715618,0.9447852760736196,14.0,8.0,1.0,77.0,0.91,0.9058823529411764,0.9871794871794872,0.8117715617715618,0.9447852760736196,14.0,8.0,1.0,77.0
4.0,1,12,91.0,314.0,22.0,78.0,0.87,0.8651685393258427,0.9871794871794872,0.7208624708624709,0.9221556886227544,10.0,12.0,1.0,77.0,0.87,0.8651685393258427,0.9871794871794872,0.7208624708624709,0.9221556886227544,10.0,12.0,1.0,77.0
5.0,1,12,88.0,312.0,25.0,80.0,0.8761904761904762,0.8602150537634409,1.0,0.74,0.9248554913294798,12.0,13.0,0.0,80.0,0.8761904761904762,0.8602150537634409,1.0,0.74,0.9248554913294798,12.0,13.0,0.0,80.0
1.0,1,"3,8,12",91.0,314.0,22.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0,0.83,0.8210526315789474,1.0,0.6136363636363636,0.9017341040462428,5.0,17.0,0.0,78.0
2.0,1,"3,8,12",88.0,312.0,22.0,78.0,0.89,0.8764044943820225,1.0,0.75,0.934131736526946,11.0,11.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
3.0,1,"3,8,12",91.0,314.0,22.0,78.0,0.89,0.8764044943820225,1.0,0.75,0.934131736526946,11.0,11.0,0.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0
4.0,1,"3,8,12",91.0,314.0,22.0,78.0,0.85,0.8461538461538461,0.9871794871794872,0.6754079254079255,0.9112426035502958,8.0,14.0,1.0,77.0,0.85,0.8461538461538461,0.9871794871794872,0.6754079254079255,0.9112426035502958,8.0,14.0,1.0,77.0
5.0,1,"3,8,12",88.0,312.0,25.0,80.0,0.8476190476190476,0.8333333333333334,1.0,0.6799999999999999,0.9090909090909092,9.0,16.0,0.0,80.0,0.8285714285714286,0.8163265306122449,1.0,0.64,0.8988764044943821,7.0,18.0,0.0,80.0
1.0,1,"3,4,8,12",91.0,314.0,22.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
2.0,1,"3,4,8,12",88.0,312.0,22.0,78.0,0.79,0.7878787878787878,1.0,0.5227272727272727,0.8813559322033898,1.0,21.0,0.0,78.0,0.79,0.7878787878787878,1.0,0.5227272727272727,0.8813559322033898,1.0,21.0,0.0,78.0
3.0,1,"3,4,8,12",91.0,314.0,22.0,78.0,0.8,0.8020833333333334,0.9871794871794872,0.5617715617715618,0.8850574712643677,3.0,19.0,1.0,77.0,0.8,0.8020833333333334,0.9871794871794872,0.5617715617715618,0.8850574712643677,3.0,19.0,1.0,77.0
4.0,1,"3,4,8,12",91.0,314.0,22.0,78.0,0.8,0.7959183673469388,1.0,0.5454545454545454,0.8863636363636364,2.0,20.0,0.0,78.0,0.8,0.7959183673469388,1.0,0.5454545454545454,0.8863636363636364,2.0,20.0,0.0,78.0
