run,models,rules,train_0,train_1,test_0,test_1,lm_accuracy,lm_precision,lm_recall,lm_ROCAUC,lm_f1,lm_CM_TN,lm_CM_FP,lm_CM_FN,lm_CM_TP,mlv_accuracy,mlv_precision,mlv_recall,mlv_ROCAUC,mlv_f1,mlv_CM_TN,mlv_CM_FP,mlv_CM_FN,mlv_CM_TP
1,5,0,91,314,22,78,0.94,0.928571429,1,0.863636364,0.962962963,16,6,0,78,0.94,0.928571429,1,0.863636364,0.962962963,16,6,0,78
2,5,0,88,312,22,78,0.93,0.927710843,0.987179487,0.857226107,0.956521739,16,6,1,77,0.93,0.927710843,0.987179487,0.857226107,0.956521739,16,6,1,77
3,5,0,91,314,22,78,0.94,0.928571429,1,0.863636364,0.962962963,16,6,0,78,0.94,0.928571429,1,0.863636364,0.962962963,16,6,0,78
4,5,0,91,314,22,78,0.88,0.866666667,1,0.727272727,0.928571429,10,12,0,78,0.88,0.866666667,1,0.727272727,0.928571429,10,12,0,78
5,5,0,88,312,25,80,0.876190476,0.868131868,0.9875,0.75375,0.923976608,13,12,1,79,0.876190476,0.868131868,0.9875,0.75375,0.923976608,13,12,1,79
1,5,"3,8,12",91,314,22,78,0.87,0.857142857,1,0.704545455,0.923076923,9,13,0,78,0.83,0.821052632,1,0.613636364,0.901734104,5,17,0,78
2,5,"3,8,12",88,312,22,78,0.88,0.866666667,1,0.727272727,0.928571429,10,12,0,78,0.83,0.821052632,1,0.613636364,0.901734104,5,17,0,78
3,5,"3,8,12",91,314,22,78,0.87,0.857142857,1,0.704545455,0.923076923,9,13,0,78,0.85,0.838709677,1,0.659090909,0.912280702,7,15,0,78
4,5,"3,8,12",91,314,22,78,0.85,0.846153846,0.987179487,0.675407925,0.911242604,8,14,1,77,0.89,0.885057471,0.987179487,0.766317016,0.933333333,12,10,1,77
5,5,"3,8,12",88,312,25,80,0.876190476,0.860215054,1,0.74,0.924855491,12,13,0,80,0.866666667,0.85106383,1,0.72,0.91954023,11,14,0,80
1,1,0,91,314,22,78,0.87,0.857142857,1,0.704545455,0.923076923,9,13,0,78,0.87,0.857142857,1,0.704545455,0.923076923,9,13,0,78
2,1,0,88,312,22,78,0.88,0.875,0.987179487,0.743589744,0.927710843,11,11,1,77,0.88,0.875,0.987179487,0.743589744,0.927710843,11,11,1,77
3,1,0,91,314,22,78,0.88,0.866666667,1,0.727272727,0.928571429,10,12,0,78,0.88,0.866666667,1,0.727272727,0.928571429,10,12,0,78
4,1,0,91,314,22,78,0.88,0.875,0.987179487,0.743589744,0.927710843,11,11,1,77,0.88,0.875,0.987179487,0.743589744,0.927710843,11,11,1,77
5,1,0,88,312,25,80,0.895238095,0.879120879,1,0.78,0.935672515,14,11,0,80,0.895238095,0.879120879,1,0.78,0.935672515,14,11,0,80
1,1,2,91,314,22,78,0.81,0.810526316,0.987179487,0.584498834,0.89017341,4,18,1,77,0.82,0.819148936,0.987179487,0.607226107,0.895348837,5,17,1,77
2,1,2,88,312,22,78,0.8,0.795918367,1,0.545454545,0.886363636,2,20,0,78,0.85,0.838709677,1,0.659090909,0.912280702,7,15,0,78
3,1,2,91,314,22,78,0.89,0.885057471,0.987179487,0.766317016,0.933333333,12,10,1,77,0.86,0.855555556,0.987179487,0.698135198,0.916666667,9,13,1,77
