ade_drug_pair
"['acute on chronic rf', 'lasix']"
"['hypoglycemia', 'insulin']"
"['confusion', 'narcotics']"
"['oversedation', 'morphine']"
"['oversedation', 'klonopin']"
"['oversedation', 'amitryptiline']"
"['oversedation', 'antiemetics']"
"['rash', 'penicillin']"
"['atn', 'vancomycin']"
"['acute renal failure', 'vancomycin']"
"['rash', 'dilantin']"
"['diarrhea', 'antibiotics']"
"['serosanguinous oozing', 'prednisone']"
"['leukocytosis', 'prednisone']"
"['retain urine', 'oxycodone']"
"['constipation', 'narcotic pain medicine']"
"['nausea', 'morphine']"
"['nsvt', 'digoxin']"
"['nsvt', 'digoxin']"
"['junctional tachycardia', 'digoxin']"
"['nsvt', 'digoxin']"
"['junctional tachycardia', 'digoxin']"
"['non-sustained ventricular tachycardia', 'digoxin']"
"['acute renal failure', 'dilantin']"
"['morbilliform rash', 'dilantin']"
"['drug reaction', 'dilantin']"
"['anaphylactic shock', 'keflex']"
"['anaphylactic shock', 'cephalosporins']"
"['reaction', 'dilantin']"
"['reaction', 'phenytoin']"
"['reaction', 'keflex']"
"['reaction', 'cephalexin']"
"['allergy', 'dilantin']"
"['allergy', 'phenytoin']"
"['allergy', 'keflex']"
"['allergy', 'cephalexin']"
"['metabolic alkalosis', 'lasix']"
"['junctional bradycardia', 'beta-blockers']"
"['topical', 'miconazole nitrate']"
"['supraventricular tachycardia', 'caffeine citrate']"
"['bilateral calcifications in both kidneys', 'lasix']"
"['bilateral renal calcifications', 'lasix']"
"['induced thrombocytopenia', 'heparin']"
"['erythema over trunk', 'vanco']"
"['erythema over trunk', 'cipro']"
"['erythema over trunk', 'flagyl']"
"['erythema over trunk', 'zosyn']"
"['peripheral neuropathy', 'stavudine']"
"['hypoxia', 'fluid']"
"['ge ulcers', 'fosamax']"
"['rash', 'cefepime']"
"['fluid overload', 'prbc']"
"['fluid overload', 'platelet']"
"['neutropenia', 'bactrim']"
"['neutropenia', 'bactrim']"
"['neutropenic', 'decitabine']"
"['renal insufficiency', 'cyclosporine']"
"['renal insufficiency', 'cyclosporine']"
"['chronic renal insufficiency', 'cyclosporine']"
"['neutropenic fever', 'decitabine']"
"['neutropenic', 'decitabine']"
"['severe nausea', 'flagyl']"
"['hypothyroidism', 'amiodarone']"
"['marrow toxicity', 'vancomycin']"
"['marrow toxicity', 'cefepime']"
"['low blood counts', 'vancomycin']"
"['low blood counts', 'cefepime']"
"['rash', 'cefepime']"
"['rash', 'micafungin']"
"['urticarial reaction', 'platelets']"
"['acute kidney injury', 'vancomycin']"
"['acute kidney injury', 'ambisome']"
"['nephrotoxic', 'vancomycin']"
"['nephrotoxic', 'ambisome']"
"['rash', 'meropenem']"
"['rash', 'micafungin']"
"['lfts', 'fluconazole']"
"['pancytopenia', 'prbc']"
"['pancytopenia', 'prbc']"
"['pancytopenia', 'chemo']"
"['rash', 'antibiotics']"
"['confusion', 'benzodiazepine']"
"[""wernicke korsakoff's pathology"", 'haldol']"
"['serotonin syndrome', 'sertraline']"
"['bruising', 'heparin']"
"['bruising', 'heparin']"
"['benzodiazepine intoxication', 'oxazepam']"
"['benzodiazepine intoxication', 'lorazepam']"
"['altered mental status', 'oxazepam']"
"['altered mental status', 'lorazepam']"
"['bradycardia', 'bb']"
"['bradycardia', 'ccb']"
"['symptomatic bradycardia', 'diltiazem']"
"['symptomatic bradycardia', 'atenolol']"
"['hypotension', 'atenolol']"
"['hypotension', 'diltiazem']"
"['hypotension', 'bb']"
"['hypotension', 'ccb']"
"['bradycardia', 'ccb']"
"['bradycardia', 'bb']"
"['hypoxia', 'ivf']"
"['normocytic anemia', 'chemotherapy']"
"['thrombocytopenia', 'chemotherapy']"
"['redness in legs', 'chemotherapy']"
"['sbp <100', 'torsemide']"
"['hypovolemic hyponatremia', 'diuretic']"
"['hypotension', 'metoprolol']"
